"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-6.3599371e-05,3.9824233e-08,0,3.8,0.40000001,0
-8.3458661e-05,-1.5294434e-05,0,2.7999849,0.40000001,0
2.5020445e-05,-2.6784694e-05,0,2.815268,0.42151758,0
-3.1095249e-05,-7.9952639e-05,0,2.8296173,0.44420925,0
7.8003745e-07,1.4446837e-05,0,2.8427279,0.4676384,0
-1.859588e-05,-6.6623303e-05,0,2.854562,0.49173754,0
-9.5369342e-06,-3.9140406e-05,0,2.8650856,0.51643711,0
-1.653154e-05,-7.6240191e-05,0,2.8742683,0.54166603,0
-8.9842879e-06,-1.3150596e-05,0,2.8820834,0.5673514,0
2.5063346e-06,1.2714124e-05,0,2.8885086,0.59341919,0
-5.4931666e-06,-3.9110582e-05,0,2.8935251,0.61979437,0
3.3793278e-06,-2.2202566e-05,0,2.8971188,0.64640075,0
6.1992341e-07,-5.5401365e-06,0,2.8992791,0.67316169,0
8.8879239e-07,-5.7582758e-05,0,2.9000001,0.69999999,0
-4.0577652e-06,1.7061229e-05,0,2.8992791,0.72683829,0
1.1361718e-05,-7.9487181e-05,0,2.8971188,0.75359923,0
4.8177467e-06,-2.3132387e-05,0,2.8935251,0.78020567,0
-1.4703593e-05,6.8241156e-05,0,2.8885086,0.80658078,0
7.5062126e-06,-1.9679477e-05,0,2.8820834,0.83264863,0
1.5032795e-06,-5.9780104e-06,0,2.8742683,0.858334,0
2.8244694e-06,-8.1515236e-06,0,2.8650856,0.88356286,0
1.6218992e-06,-3.9855004e-06,0,2.854562,0.90826243,0
-5.5341493e-06,8.3928126e-06,0,2.8427279,0.9323616,0
5.9151844e-06,-9.5836922e-06,0,2.8296173,0.95579076,0
3.4425457e-06,-5.2960786e-06,0,2.815268,0.97848243,0
-2.2954405e-06,2.7382325e-06,0,2.7997215,1.0003711,0
7.4465756e-06,-9.0834037e-06,0,2.7830222,1.0213938,0
4.854704e-06,-5.0332619e-06,0,2.7652187,1.0414898,0
3.7387563e-06,-4.1451085e-06,0,2.7463622,1.0606012,0
1.1711459e-05,-1.0600683e-05,0,2.7265069,1.0786729,0
8.4919457e-06,-6.8596769e-06,0,2.7057104,1.0956528,0
2.1669823e-06,-1.6888389e-06,0,2.6840324,1.1114919,0
3.3033803e-06,-2.5210338e-06,0,2.6615355,1.1261446,0
4.8925504e-06,-2.6812502e-06,0,2.6382844,1.1395686,0
1.0316708e-05,-5.4859097e-06,0,2.6143463,1.1517252,0
-2.1705789e-06,7.0552323e-07,0,2.5897901,1.1625794,0
5.5843693e-06,-2.3799071e-06,0,2.5646868,1.1720998,0
1.5901447e-06,-1.5661199e-07,0,2.5391088,1.1802591,0
3.6443485e-06,-6.1701547e-07,0,2.5131295,1.1870335,0
-7.2282063e-07,-2.5442816e-07,0,2.486824,1.1924039,0
-1.8251591e-06,2.0334272e-07,0,2.4602683,1.1963544,0
9.2636747e-06,-2.4275042e-07,0,2.4335389,1.1988739,0
2.1935462e-06,8.7492296e-08,0,2.4067125,1.199955,0
-1.6735875e-06,-2.0753146e-07,0,2.3798671,1.1995945,0
4.05937e-06,5.5781408e-07,0,2.3530796,1.1977936,0
-1.4544395e-06,-1.8302568e-07,0,2.3264272,1.1945574,0
8.8979544e-07,-1.7559004e-09,0,2.2999871,1.1898953,0
4.2458287e-06,1.4045618e-06,0,2.2738354,1.1838207,0
-5.4468769e-06,-2.1085061e-06,0,2.2480474,1.1763512,0
-4.726231e-07,-1.8617487e-07,0,2.2226975,1.1675081,0
2.1874569e-06,1.0530443e-06,0,2.1978588,1.1573172,0
4.0841983e-06,2.0729105e-06,0,2.1736031,1.1458076,0
9.8678845e-07,4.9301718e-07,0,2.1500001,1.1330127,0
7.6032984e-07,5.2287106e-07,0,2.1271176,1.1189693,0
1.8130146e-06,1.5798636e-06,0,2.1050222,1.1037179,0
4.7618167e-07,5.3221663e-07,0,2.0837774,1.0873024,0
6.7312277e-07,7.5293872e-07,0,2.0634441,1.0697703,0
3.2890632e-06,3.7905399e-06,0,2.0440812,1.0511721,0
2.7511155e-07,4.4315112e-07,0,2.0257447,1.0315614,0
1.503874e-06,1.9448762e-06,0,2.008487,1.0109946,0
5.7118143e-07,7.6395662e-07,0,1.9923583,0.98953116,0
7.098173e-07,1.2117592e-06,0,1.977405,0.96723294,0
-9.3409822e-09,4.2886467e-07,0,1.96367,0.94416416,0
5.2188369e-07,1.1112894e-06,0,1.9511931,0.92039144,0
4.4813154e-07,9.8528108e-07,0,1.9400103,0.89598328,0
8.3442353e-07,2.1965095e-06,0,1.9301537,0.87101007,0
-8.0339669e-07,-2.3200594e-06,0,1.9216518,0.8455438,0
-3.9336507e-07,-1.0167472e-06,0,1.9145291,0.8196578,0
1.9746095e-07,9.9405463e-07,0,1.9088061,0.79342687,0
9.0438689e-08,1.0604623e-06,0,1.9044994,0.76692659,0
3.2391932e-07,3.7809427e-06,0,1.9016213,0.7402333,0
2.6044299e-07,4.8033839e-06,0,1.9001802,0.71342397,0
4.5050029e-08,1.98472e-06,0,1.9001802,0.68657601,0
-1.658975e-07,4.7615445e-06,0,1.9016213,0.65976673,0
-1.1923552e-07,1.1079276e-06,0,1.9044994,0.63307345,0
3.7887398e-07,-1.3096446e-06,0,1.9088061,0.6065731,0
6.679096e-08,-1.4469128e-08,0,1.9145291,0.58034217,0
-7.668101e-07,2.5942575e-06,0,1.9216518,0.55445623,0
-1.267217e-06,4.5057827e-06,0,1.9301537,0.52898991,0
-6.0447746e-07,1.0907554e-06,0,1.9400103,0.5040167,0
-9.3004985e-07,2.2570728e-06,0,1.9511931,0.47960854,0
-3.5468699e-06,7.6336401e-06,0,1.96367,0.45583582,0
-1.0101394e-05,1.195237e-05,0,1.977405,0.43276709,0
0.00010957717,4.0445575e-06,0,1.9923583,0.41046885,0
3.3579307,0.30690932,0,2.0002251,0.40000001,0
0.0039525987,-0.00012686136,0,0,0.40000001,0
0.000314445,-3.1669806e-05,0,0,0,0
0.00013685793,7.5501589e-08,0,3.8,0,0
-0.00034721673,-9.7279667e-07,0,1.9,0,0
2.9391094e-05,1.9898653e-07,0,1.1621326,0.40000001,0
4.2721302e-05,-4.7673811e-07,0,3.2222693,0.40000001,0
-0.0002298558,4.3272078e-07,0,2.8499999,0,0
0.0001003314,5.4737944e-07,0,0.94999999,0,0
-0.00022633609,5.0767392e-07,0,1.5811789,0.40000001,0
-0.00013803058,1.4972992e-06,0,3.0111272,0.40000001,0
-8.6478685e-06,-3.9478032e-08,0,3.325,0,0
2.5107387e-05,-7.4705719e-07,0,0.58106631,0.40000001,0
7.804748e-05,4.2489154e-07,0,1.425,0,0
-0.00022578803,1.1045081e-07,0,1.790702,0.40000001,0
-9.287506e-05,2.090346e-06,0,2.905556,0.40000001,0
-0.00027433614,-2.603377e-06,0,0.47499999,0,0
-4.0576146e-05,-1.8661756e-07,0,1.8954636,0.40000001,0
-0.00024795867,1.0221785e-05,0,2.8527706,0.40000001,0
-6.0305815e-06,-1.5888432e-07,0,1.9478444,0.40000001,0
-0.00022962676,9.9375993e-06,0,2.8263779,0.40000001,0
1.7420829e-05,-4.0219425e-07,0,1.9740348,0.40000001,0
-0.00011710573,6.7064934e-06,0,1.9871299,0.40000001,0
0.99254316,-2.7420733,0,2.4000707,0.70005602,0
-9.95234e-05,-4.5233463e-07,0,2.375,0,0
40.553024,0.16867353,0,2.448334,0.34785068,0
-0.00022974926,4.7248386e-07,0,3.5111346,0.40000001,0
-9.9812227e-05,-5.3659809e-11,0,3.5625,0,0
-0.00024345369,-7.010362e-06,0,0.2375,0,0
-0.00025910992,5.9928452e-06,0,0.29053316,0.40000001,0
-9.3042308e-06,-5.1635613e-08,0,0.87159944,0.40000001,0
-8.1479484e-05,-7.5098626e-08,0,2.1375,0,0
-0.00013526152,-7.879629e-07,0,0.71249998,0,0
-0.00019002876,-6.7859236e-07,0,2.6125,0,0
-0.0002058867,-9.798672e-07,0,1.6625,0,0
-9.4276402e-05,2.0981493e-07,0,3.0875001,0,0
1.7632806,-3.4734824,0,2.1923285,0.56073362,0
-1.7278684,-4.6970711,0,2.1785724,0.8162142,0
