"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
17.2265,0.063267514,0,1.911136,0.3504737,0
21.720903,0.070022419,0,1.9087569,0.33395785,0
21.610081,0.057905886,0,1.9,0.33438626,0
20.247736,0.054880742,0,1.9,0.33939427,0
31.208817,0.24884558,0,1.9108925,0.12361887,0
29.272888,0.2280675,0,1.9006302,0.10697974,0
29.379002,0.22892447,0,1.9,0.10787953,0
31.184675,0.24604207,0,1.9,0.12330078,0
7.4169488,0.020188168,0,1.9003623,0.020883568,0
12.519834,0.052816004,0,1.9034983,0.036170933,0
12.468719,0.052229933,0,1.9,0.035986226,0
7.5321383,0.020892305,0,1.9,0.021224711,0
25.783924,0.19015899,0,1.9196368,0.086385623,0
22.782486,0.1544596,0,1.9072458,0.072465442,0
25.073212,0.18001752,0,1.9,0.083020568,0
26.069035,0.19144639,0,1.9,0.087622076,0
33.944592,0.16430236,0,1.9125001,0.20640247,0
33.930996,0.19516714,0,1.911901,0.19042026,0
33.921116,0.17973469,0,1.9,0.19412714,0
33.923897,0.17301744,0,1.9,0.19755965,0
28.045498,0.077367537,0,1.9123324,0.30310944,0
24.821983,0.070032716,0,1.9068218,0.32052571,0
26.757629,0.060031194,0,1.9,0.31047985,0
27.265575,0.059952229,0,1.9,0.30777082,0
1.5768848e-05,3.9412228e-08,0,1.921654,0.40000001,0
5.5474873,0.011631986,0,1.9085588,0.38549632,0
1.9217205,0.0040294188,0,1.9,0.39497572,0
-1.0604912e-05,-8.4438014e-08,0,1.9,0.40000001,0
31.095518,0.065918043,0,1.90626,0.27920026,0
32.319798,0.066126764,0,1.9007727,0.26412097,0
32.310295,0.065163687,0,1.9,0.26425073,0
31.397964,0.060185973,0,1.9,0.27555162,0
33.770576,0.21587896,0,1.9051474,0.17592269,0
33.411648,0.23677741,0,1.9042197,0.16021448,0
33.437183,0.23367798,0,1.9,0.16130443,0
33.69582,0.21836753,0,1.9,0.17261909,0
28.228914,0.21832746,0,1.9138045,0.10007071,0
26.52458,0.19680917,0,1.9,0.090192445,0
28.766996,0.22223185,0,1.9,0.10391004,0
-0.00015428118,-3.9855166e-07,0,1.9,0,0
7.2402453,0.019707201,0,1.9,0.020386023,0
-0.00015428118,-3.9855166e-07,0,1.9,0,0
30.599611,0.05825343,0,1.9,0.28365359,0
29.00662,0.060064569,0,1.9,0.29638875,0
33.771,0.12591033,0,1.9076016,0.22521341,0
33.911842,0.15040386,0,1.9,0.20881136,0
33.888607,0.14564236,0,1.9,0.21139359,0
16.883009,0.092118368,0,1.9100057,0.050355159,0
21.412718,0.13857886,0,1.9,0.066961013,0
18.642036,0.10906931,0,1.9,0.056516014,0
13.446316,0.040480204,0,1.9042333,0.36269486,0
16.551247,0.048408866,0,1.9,0.35270178,0
14.474774,0.040022276,0,1.9,0.35939768,0
33.470772,0.1087382,0,1.9150869,0.23969322,0
32.813046,0.089703433,0,1.9146045,0.25598624,0
33.138268,0.083020478,0,1.9,0.24802636,0
33.336105,0.088588558,0,1.9,0.24312657,0
33.503044,0.10094593,0,1.9,0.23576596,0
32.42403,0.067646384,0,1.9,0.26199755,0
33.859875,0.19139211,0,1.9,0.18756013,0
32.759941,0.24975963,0,1.9063954,0.14463004,0
33.266468,0.23855647,0,1.9,0.15643734,0
32.906052,0.24545139,0,1.9,0.14774056,0
31.896177,0.2489228,0,1.9,0.13200685,0
32.500362,0.24934335,0,1.9,0.14037262,0
12.096196,0.033068277,0,1.9,0.36673072,0
8.3004513,0.018168336,0,1.9,0.37774572,0
14.102023,0.066007145,0,1.9,0.041216478,0
16.347815,0.085630119,0,1.9,0.048461288,0
22.900621,0.059015628,0,1.9,0.32880107,0
28.824743,-0.50463939,0,2.9082372,0.29724568,0
31.812382,-0.44360304,0,2.9078743,0.27283081,0
26.667803,-0.53995091,0,2.9096565,0.31135482,0
24.225691,-0.57693905,0,2.9100962,0.32552832,0
32.127197,-0.1305051,0,2.8998833,0.14024143,0
33.595371,-0.15875827,0,2.9011843,0.15805683,0
34.788853,-0.30378377,0,2.8988314,0.22312041,0
35.016018,-0.24959868,0,2.8979826,0.2026474,0
30.021488,-0.1038774,0,2.8940377,0.12247407,0
27.962875,-0.103715,0,2.905581,0.10886005,0
-4.2977397e-05,1.164791e-06,0,2.905556,0.40000001,0
11.222269,-0.27588132,0,2.8996871,0.37651438,0
-9.306991e-05,2.4632703e-07,0,2.909375,0,0
4.3859205,-0.0067318068,0,2.9019532,0.01430802,0
32.93446,-0.40559843,0,2.9019549,0.26016089,0
18.241585,-0.57609016,0,2.9010673,0.35450613,0
34.714725,-0.1940151,0,2.8931155,0.1827433,0
17.246296,-0.062195715,0,2.9101605,0.05943368,0
13.315459,-0.043872394,0,2.9083276,0.044892397,0
34.187122,-0.36105788,0,2.9071214,0.2406075,0
21.292912,-0.61251086,0,2.9016607,0.34090206,0
8.9880438,-0.02409149,0,2.9065418,0.029759474,0
22.527559,-0.074664004,0,2.896718,0.081181146,0
24.73016,-0.09131369,0,2.909375,0.091419034,0
-2.419157,3.3218005,0,2.627281,0.80423671,0
-2.2389443,2.7546966,0,2.6016557,0.80035174,0
-1.7993218,2.9637489,0,2.6143229,0.78110415,0
